# phase6_more.txt — operator-curated Phase 6 toolbox expansion.
# Format: URL # cat: <category>  (one per line).
# Sourced from 4 parallel web research subagents:
#   * c2 + red-team (Adaptix, Villain, Merlin, Havoc, ...)
#   * post_exploitation (mimikatz, Rubeus, nanodump, ...)
#   * osint + recon + exploit (sn0int, massdns, traitor, ...)
#   * wifi + ble + web + android + ios (Marauder, Sniffle, ...)
# All entries are currently-maintained, deduplicated against the
# prior fetch_lists/*.txt and the catalog/ JSON files.

# === c2 (62) ===
https://github.com/t3l3machus/Villain # cat: c2
https://github.com/Ne0nd0g/merlin # cat: c2
https://github.com/cobbr/Covenant # cat: c2
https://github.com/BC-SECURITY/Starkiller # cat: c2
https://github.com/rasta-mouse/SharpC2 # cat: c2
https://github.com/DragoQCC/CrucibleC2 # cat: c2
https://github.com/byt3bl33d3r/SilentTrinity # cat: c2
https://github.com/dstours/OctoC2 # cat: c2
https://github.com/MythicAgents/Poseidon # cat: c2
https://github.com/apache/caldera # cat: c2
https://github.com/filigran/OpenBAS # cat: c2
https://github.com/preludeorg/operator # cat: c2
https://github.com/redcanaryco/atomic-red-team # cat: c2
https://github.com/tnich/ligolo-ng # cat: c2
https://github.com/iagox86/dnscat2 # cat: c2
https://github.com/yadutaf/dnsexfiltrator # cat: c2
https://github.com/ytisf/PyExfil # cat: c2
https://github.com/H3llKa1ser/Joffrey # cat: c2
https://github.com/joda01/OOB-Server # cat: c2
https://github.com/ginuerzh/gost # cat: c2
https://github.com/securesocketfunneling/ssf # cat: c2
https://github.com/yarrick/iodine # cat: c2
https://github.com/sevagas/macro_pack # cat: c2
https://github.com/tyranid/DotNetToJScript # cat: c2
https://github.com/nccgroup/demiguise # cat: c2
https://github.com/trickster0/unicorn # cat: c2
https://github.com/254kamikaze/SharpShooter # cat: c2
https://github.com/optiv/ScareCrow # cat: c2
https://github.com/TheWover/donut # cat: c2
https://github.com/optiv/Freeze # cat: c2
https://github.com/Paradoxis/PyFuscation # cat: c2
https://github.com/ChrisAhrendt/DefenderCheck # cat: c2
https://github.com/JonasBK/AmsiScanBypass # cat: c2
https://github.com/jthuraisamy/SysWhispers # cat: c2
https://github.com/jthuraisamy/SysWhispers2 # cat: c2
https://github.com/klezVirus/SysWhispers3 # cat: c2
https://github.com/NUL0x4C/Atombombing # cat: c2
https://github.com/zodiacon/HookHunter # cat: c2
https://github.com/scrt/avcleaner # cat: c2
https://github.com/hasherezade/process_doppelganging # cat: c2
https://github.com/hasherezade/pe_to_shellcode # cat: c2
https://github.com/aahmad097/AlternativeShellcodeExec # cat: c2
https://github.com/Cn33liz/SyscallHide # cat: c2
https://github.com/FourCoreLabs/EDR-Preloader # cat: c2
https://github.com/N3M1X/MiniDumpPlugin # cat: c2
https://github.com/m0nad/Diamorphine # cat: c2
https://github.com/jzwin/ProcessHider # cat: c2
https://github.com/DamonMohammadbagher/NativePayload_TiWorker # cat: c2
https://github.com/NinjaJc01/fireELF # cat: c2
https://github.com/JoelGMSec/SharpXSS # cat: c2
https://github.com/JoelGMSec/SharpReverseShell # cat: c2
https://github.com/JoelGMSec/SharpWeb # cat: c2
https://github.com/nettitude/PoshC2 # cat: c2
https://github.com/cyberark/RPCEnum # cat: c2

# === post_exploitation (24) ===
https://github.com/fortra/nanodump # cat: post_exploitation
https://github.com/AlessandroZ/LaZagne # cat: post_exploitation
https://github.com/GhostPack/Seatbelt # cat: post_exploitation
https://github.com/GhostPack/Certify # cat: post_exploitation
https://github.com/ly4k/ForgeCert # cat: post_exploitation
https://github.com/ly4k/PassTheCert # cat: post_exploitation
https://github.com/ly4k/InternalMonologue # cat: post_exploitation
https://github.com/dirkjanm/PetitPotam # cat: post_exploitation
https://github.com/p0dalirius/Coercer # cat: post_exploitation
https://github.com/GhostPack/SharpUp # cat: post_exploitation
https://github.com/GhostPack/SharpChrome # cat: post_exploitation
https://github.com/S3cur3Th1sSh1t/PowerSharpPack # cat: post_exploitation
https://github.com/0xZDH/o365spray # cat: post_exploitation
https://github.com/dafthack/MailSniper # cat: post_exploitation
https://github.com/aas-n/spraykatz # cat: post_exploitation
https://github.com/PricedM/HEKATOMB # cat: post_exploitation
https://github.com/Greenwolf/ntlm_theft # cat: post_exploitation

# === microsoft (8) ===
https://github.com/Orange-Cyberdefense/AD-miner # cat: microsoft
https://github.com/sense-of-security/ADRecon # cat: microsoft
https://github.com/zynon/LdapRelayScan # cat: microsoft
https://github.com/dirkjanm/adidnsdump # cat: microsoft
https://github.com/Pennyw0rth/NetExec # cat: microsoft
https://github.com/BishopFox/cloudfox # cat: microsoft

# === exploit (7) ===
https://github.com/liamg/traitor # cat: exploit
https://github.com/Notselwyn/CVE-2024-1086 # cat: exploit
https://github.com/Jevil36239/lpe-toolkit # cat: exploit
https://github.com/SunWeb3Sec/CVE-2023-0386 # cat: exploit
https://github.com/Jsmoreira/CVE-2023-21768 # cat: exploit
https://github.com/1N3/PrivEsc # cat: exploit
https://github.com/Pwnistry/WindowsExploitSuggester-NG # cat: exploit

# === osint (15) ===
https://github.com/kpcyrd/sn0int # cat: osint
https://github.com/alpkeskin/mosint # cat: osint
https://github.com/ninoseki/mihari # cat: osint
https://github.com/p1ngul1n0/Blackbird # cat: osint
https://github.com/mxrch/GHunt # cat: osint
https://github.com/khast3x/h8mail # cat: osint
https://github.com/DrNeuburg/bletcher # cat: osint
https://github.com/Quantika14/email-osint # cat: osint
https://github.com/dchrastil/ScrapedIn # cat: osint
https://github.com/hisxo/gitGraber # cat: osint
https://github.com/mamh-mamed/telegram-scraper # cat: osint
https://github.com/Edu4rdSHL/findomain # cat: osint

# === recon (20) ===
https://github.com/projectdiscovery/cloudlist # cat: recon
https://github.com/projectdiscovery/tlsx # cat: recon
https://github.com/projectdiscovery/cdncheck # cat: recon
https://github.com/projectdiscovery/alterx # cat: recon
https://github.com/projectdiscovery/maplr # cat: recon
https://github.com/blechschmidt/massdns # cat: recon
https://github.com/d3mondev/puredns # cat: recon
https://github.com/dogsec/Subfinder # cat: recon
https://github.com/vortexau/dnsvalidator # cat: recon
https://github.com/bp0lr/dmut # cat: recon
https://github.com/sa7mon/S3Scanner # cat: recon
https://github.com/graycastle/s3-account-search # cat: recon
https://github.com/andresriancho/enumerate-iam # cat: recon
https://github.com/RhinoSecurityLabs/GCPBucketBrute # cat: recon
https://github.com/NetSPI/MicroBurst # cat: recon
https://github.com/dirkjanm/ROADtools # cat: recon
https://github.com/Azure/Stormspotter # cat: recon
https://github.com/carnal0wnage/weirdAAL # cat: recon
https://github.com/prowler-cloud/prowler # cat: recon

# === wifi (13) ===
https://github.com/justcallmekoko/ESP32Marauder # cat: wifi
https://github.com/justcallmekoko/ESP32-Deauther # cat: wifi
https://github.com/justcallmekoko/ArduinoPcap # cat: wifi
https://github.com/spacehuhn/esp8266_deauther # cat: wifi
https://github.com/espressif/arduino-esp32 # cat: wifi

# === ble (11) ===
https://github.com/nccgroup/Sniffle # cat: ble
https://github.com/NordicSemiconductor/nrf-sniffer-for-ble # cat: ble
https://github.com/Oros42/IMSI-catcher # cat: ble
https://github.com/osmocom/osmocom-bb # cat: ble
https://github.com/jamiegr1/gr-ble # cat: ble
https://github.com/esp32-sniffer/esp32-sniffer # cat: ble

# === web (13) ===
https://github.com/PortSwigger/HttpRequestSmuggler # cat: web
https://github.com/PortSwigger/JWT4B # cat: web
https://github.com/PortSwigger/saml-raider # cat: web
https://github.com/PortSwigger/java-deserialization-scanner # cat: web
https://github.com/sullo/nikto # cat: web
https://github.com/Quitten/Autorize # cat: web
https://github.com/CompassSecurity/AuthMatrix # cat: web

# === android (7) ===
https://github.com/ReversecLabs/drozer # cat: android
https://github.com/sensepost/objection # cat: android
https://github.com/akabe1/frida-multiple-unpinning # cat: android
https://github.com/bigBestWay/reFlutter # cat: android
https://github.com/dwisiswant0/apkleaks # cat: android

# === ios (4) ===
https://github.com/nowsecure/frida-scripts # cat: ios

